FileName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,OutOfASCII,CharTotal, LineTotal, AvgCharPerLine, # of Strings, % of Space, # of Word, % of Word, Readable, RatioOfNum , RatioOfEng, RatioOfSpcChar, MaxCharNumPerLine, DistDegree,NumOfNumType,NumOfEngType,NumOfSpcType, MaxNumOfSpc, MaxNumOfSpcChar 
jsdoc-import-path-plugin.js,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,1,2,0,2,0,0,10,7,7,0,0,4,0,15,3,1,1,0,0,0,0,0,0,0,0,1,7,0,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,8,15,0,7,8,30,4,0,4,16,2,0,11,20,20,17,9,1,13,13,13,7,3,0,2,1,0,5,0,5,0,0,473,21,22.5,1,27.70%,,,,0.4,47.4,20.1,82,10%,2,25,19,15,46
_helpers.js,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,9,0,1,5,0,5,82,93,93,4,1,106,8,131,65,1,0,0,0,0,0,0,0,0,0,63,63,15,54,25,7,1,4,0,24,6,7,24,0,0,16,1,1,28,7,4,4,39,0,15,3,9,0,1,2,0,0,0,4,3,4,0,9,4,289,31,233,104,375,164,126,66,277,31,87,181,83,269,305,118,2,318,254,318,85,7,70,31,31,0,46,8,46,0,0,6069,186,32.6,0,14.50%,,,,0,66.7,15.7,112,0%,1,43,28,131,46
jbone.min.js,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,40,74,2,7,0,136,0,376,376,12,61,327,16,370,13,83,27,6,0,0,0,0,2,0,2,71,138,31,382,4,35,0,15,5,17,9,33,2,0,3,6,0,1,12,5,6,9,8,0,3,12,9,0,0,1,0,0,0,155,9,155,4,5,0,517,203,379,260,602,273,136,252,420,55,17,205,95,517,295,119,66,371,275,614,229,101,15,16,42,0,108,47,108,3,0,9612,9,1068,37,2.00%,,,,1.2,64.8,31.9,9441,0%,5,43,28,382,61
datepicker-pl.js,0,0,0,0,0,0,0,0,0,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,108,2,0,0,4,0,9,9,4,0,55,0,19,10,0,1,0,2,0,0,0,0,0,0,15,8,0,4,0,0,1,2,1,6,4,1,1,2,1,1,1,2,7,7,9,0,10,2,2,10,6,1,0,7,0,1,1,6,0,6,0,0,0,55,3,26,29,89,19,8,8,59,6,19,19,16,33,38,20,0,49,28,53,16,1,10,8,22,16,5,0,5,0,13,1169,37,31.6,54,7.10%,,,,0.3,62.9,23.1,89,0%,2,48,17,108,34
packages.js,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,2,2,1,3,0,2,206,108,108,16,4,126,53,112,40,0,0,0,0,0,0,1,0,1,0,87,98,0,71,1,1,7,16,4,15,14,36,20,5,7,14,1,0,24,9,10,12,16,0,28,43,36,3,8,4,0,0,0,24,7,24,0,23,18,218,79,168,161,688,81,117,32,286,37,45,255,147,390,272,198,32,346,260,367,230,20,24,37,36,12,72,0,72,0,0,7758,301,25.8,1,16.80%,,,,0,62.7,16.6,98,0%,2,47,27,206,39
bootstrap-datepicker.ar-tn.js,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,98,0,2,0,0,2,3,3,5,0,49,3,5,2,0,0,0,0,0,0,0,0,0,0,7,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,6,0,6,0,0,0,16,7,5,7,13,3,1,6,11,1,2,3,4,10,13,3,0,12,14,16,6,0,0,0,5,0,2,0,2,0,218,706,15,47.1,49,14.90%,,,,0,23.5,28.6,119,0%,0,27,20,98,34
user-home_v2.x.x.js,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,9,0,1,1,1,0,0,4,3,1,4,1,0,5,3,2,3,0,0,1,0,0,1,0,1,0,0,65,3,21.7,0,10.80%,,,,0,72.3,12.3,34,30%,0,17,7,2,39
strip-class-call-check.js,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,3,0,0,0,0,4,28,36,36,0,2,12,3,62,2,2,2,0,1,0,0,0,0,0,0,3,32,1,29,2,0,0,0,4,23,2,3,0,0,0,0,0,1,0,1,0,4,2,0,0,2,1,0,0,0,0,0,0,9,0,9,0,0,0,78,22,43,35,166,16,26,35,73,2,14,77,39,74,40,35,1,63,78,89,16,9,1,12,5,0,20,0,20,0,0,2203,87,25.3,0,32.00%,,,,0.2,49.6,14.2,73,0%,3,35,19,62,46
datepicker-et.js,0,0,0,0,0,0,0,0,0,43,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,108,0,0,0,2,0,9,9,4,0,55,0,18,10,0,1,0,0,0,0,0,0,0,0,15,6,0,4,0,0,0,6,1,0,5,5,1,0,1,1,7,3,4,8,10,2,3,2,5,7,9,1,2,1,0,1,0,6,0,6,0,0,0,63,8,17,25,103,19,12,9,44,4,11,24,25,36,33,28,0,50,34,56,28,12,4,6,16,0,5,0,5,0,14,1217,45,27,54,8.20%,,,,0.1,61.8,21.5,86,0%,1,46,15,108,34
bootstrap-datepicker.fr.js,0,0,0,0,0,0,0,0,0,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,98,0,2,0,0,3,3,3,5,0,49,1,19,4,0,1,0,0,0,0,0,0,0,0,10,3,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,1,0,3,1,0,0,0,0,0,0,6,0,6,0,0,0,31,5,15,22,37,9,1,8,29,11,3,16,26,22,26,5,0,33,17,27,13,11,1,0,9,0,2,0,2,0,6,718,18,39.9,49,8.60%,,,,0.1,54.2,30.6,133,0%,1,31,20,98,34
