FileName,CharTotal, LineTotal, AvgCharPerLine, # of Strings, % of Space, # of Word, % of Word, Readable, RatioOfNum , RatioOfEng, RatioOfSpcChar, MaxCharNumPerLine, DistDegree,NumOfNumType,NumOfEngType,NumOfSpcType, MaxNumOfSpc, MaxNumOfSpcChar 
20170507_0d258992733e8a397617eae0cbb08acc.js,22062,883,25,14,0.005,,,,1.6,78.3,15.6,286,432.5882353,10,51,19,1754,39
20170427_661f88e902e0c22a88ef8c53517193ec.js,20766,573,36.2,66,0.005,,,,1.6,83,12.2,286,399.3461538,10,52,22,1026,39
20170421_a7efce582dbb502f9a4c3cce99e623ea.js,1397,44,31.8,18,0.083,,,,4.7,57.5,23,264,28.51020408,8,49,22,36,34
20170416_68b9d93cf2e09972f4a97556d730e2f2.js,3086,75,41.1,72,0.021,,,,11.1,54,30.3,219,59.34615385,10,52,20,438,43
20170427_825fa9f8aef657706ed256436dbc2916.js,20810,603,34.5,78,0.005,,,,1.7,82.6,12.3,216,408.0392157,9,51,19,1062,39
20170429_3aa18e5e055db7224dcf22bc8f6e10b7.js,19288,523,36.9,15,0.005,,,,0.3,87.5,9,214,378.1960784,10,51,18,1032,39
20170421_f23d90e6e6dd6cae96f15206722d9c81.js,3448,88,39.2,75,0.024,,,,10.1,56.5,28.5,212,66.30769231,10,52,20,453,43
20170425_94134889aa96c37b01883564e519d291.js,4016,99,40.6,66,0.027,,,,8,61.3,25.6,210,77.23076923,9,52,23,335,45
20170422_f4ad44dfca9551cdc2cbe38a81cf78ea.js,3759,91,41.3,66,0.026,,,,9.2,58.8,26.9,207,72.28846154,10,52,20,463,43
20170420_ad0b38af5cd1190540120802822bbe05.js,3450,94,36.7,82,0.024,,,,9.5,55.9,29.5,203,66.34615385,10,52,20,380,44
20170427_a2ad7fc45827068fa402cac361b5a0d9.js,20233,579,34.9,77,0.005,,,,1.7,82.3,12.6,201,389.0961538,10,52,22,1016,39
20170422_b74ef16d8774f3d4932f9cfdbedfd6c1.js,3819,103,37.1,79,0.025,,,,8.6,57.6,28.6,201,73.44230769,10,52,23,405,45
20170417_7353fdbf8df5fe2a35327c281d8aa117.js,3054,77,39.7,74,0.021,,,,11.4,53.3,30.7,199,58.73076923,10,52,20,435,43
20170428_7f48e0a8ad5d92a388049c1ea8b955c7.js,12384,347,35.7,115,0.005,,,,2.7,83,10.9,192,238.1538462,10,52,16,470,39
20170429_79712226daf53ec68d02158d0ab8b020.js,1488,47,31.7,19,0.079,,,,5.9,57.3,22,184,28.61538462,9,52,21,38,34
20170426_e8c22b6617d3dac5fd428689ff796af3.js,9340,335,27.9,6,0.06,,,,3.1,69,15.1,180,179.6153846,10,52,29,222,39
20170426_6d9bc15df6dc1f12c4d0fa4773c99be9.js,9277,335,27.7,6,0.061,,,,3,70,14,170,178.4038462,10,52,29,222,39
20170424_983ed9dcc3881751b2a48a51e3abc939.js,2376,49,48.5,44,0.026,,,,14.2,60,21.2,170,45.69230769,10,52,16,203,58
